,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
34,CNTLP.ME,Central Telegraph Public Joint Stock Company,Russia,MCX,RUB,Common Stock,,,,Telecom Services,Communication Services,2.3431153,2538439424.0,10.374286,12.910563,0.21238,0.054619998
35,DASB.ME,Dagestan Energy Supply Company Public Joint-Stock Company,Russia,MCX,RUB,Common Stock,RU000A0F63G0,,,Utilities—Regulated Electric,Utilities,,556945984.0,0.064294286,0.07451127,-0.672,0.58835
36,DIOD.ME,DIOD Maker of Eco-Friendly Equipment and Nutrition Public Joint Stock Company,Russia,MCX,RUB,Common Stock,RU000A0JQWC1,6,,Drug Manufacturers—Specialty & Generic,Healthcare,0.6677417,833564992.0,8.522285,8.170211,0.072069995,0.62821
38,DSKY.ME,Public Joint Stock Company Detsky Mir,Russia,MCX,RUB,Common Stock,RU000A0JSQ90,7,,Department Stores,Consumer Cyclical,,100497260544.0,138.20172,145.02986,0.05691,0.30364
39,DVEC.ME,Public joint stock company FAR-EASTERN ENERGY COMPANY,Russia,MCX,RUB,Common Stock,RU000A0JP2W1,8,,Utilities—Regulated Electric,Utilities,0.7417218,13490052096.0,0.7838857,0.79665494,0.01016,0.51949
40,DZRD.ME,DONSKOY FACTORY OF RADIOCOMPONENTS Open Joint-Stock Company,Russia,MCX,RUB,Common Stock,RU000A0JQW11,5,,Electronic Components,Technology,0.27508995,975309440.0,2177.0,2175.9155,0.12405,0.18674
41,DZRDP.ME,DONSKOY FACTORY OF RADIOCOMPONENTS Open Joint-Stock Company,Russia,MCX,RUB,Common Stock,,5,,Electronic Components,Technology,0.21245787,937185984.0,1660.0,1743.3802,0.12405,0.18674
42,EELT.ME,European Eltech Public Joint Stock Company,Russia,MCX,RUB,Common Stock,RU000A0JWW54,4,,Electrical Equipment & Parts,Industrials,4.420929,4587200000.0,7.517143,7.5314083,0.10408,0.23558001
43,ELTZ.ME,Electrozink Public Joint-Stock Company,Russia,MCX,RUB,Common Stock,RU000A0B66V1,,,Other Industrial Metals & Mining,Basic Materials,1.6389623,286479232.0,175.84285,172.71127,-0.052950002,-0.01539
44,ENPG.ME,En+ Group International public joint-stock company,Russia,MCX,RUB,Common Stock,RU000A100K72,5,,Aluminum,Basic Materials,,,737.82855,818.2007,0.06605,0.24604
