,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
51,0057.HK,Chen Hsong Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG208741063,,,,,,,,,,
52,0058.HK,Sunway International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG858331389,,,,,,,,,,
53,0059.HK,Skyfame Realty (Holdings) Limited,Hong Kong,HK,HKD,Common Stock,BMG8220B1476,,,,,,,,,,
54,0060.HK,Hong Kong Food Investment Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0060028229,,,,,,,,,,
55,0061.HK,Green Leader Holdings Group Limited,Hong Kong,HK,HKD,Common Stock,BMG4165P1187,,,,,,,,,,
56,0062.HK,Transport International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG9031M1082,,,,,,,,,,
57,0063.HK,China Asia Valley Group Limited,Hong Kong,HK,HKD,Common Stock,BMG2123P1059,,,,,,,,,,
58,0064.HK,Get Nice Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG3926K1031,,,,,,,,,,
59,0065.HK,Grand Ocean Advanced Resources Company Limited,Hong Kong,HK,HKD,Common Stock,KYG4065F1037,,,,,,,,,,
60,0066.HK,MTR Corporation Limited,Hong Kong,HK,HKD,Common Stock,HK0066009694,,,,,,,,,,
61,00665.HK,Haitong International Securities Group Ltd,Hong Kong,HK,HKD,Common Stock,BMG4232X1020,,,,,,,,,,
62,0069.HK,Shangri-La Asia Limited,Hong Kong,HK,HKD,Common Stock,BMG8063F1068,,,,,,,,,,
63,0070.HK,Rich Goldman Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0000295763,,,,,,,,,,
64,0071.HK,Miramar Hotel and Investment Company Limited,Hong Kong,HK,HKD,Common Stock,HK0071000456,,,,,,,,,,
65,0072.HK,Modern Media Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG618251089,,,,,,,,,,
66,0073.HK,Asian Citrus Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG0620W2019,,,,,,,,,,
67,0075.HK,Y. T. Realty Group Limited,Hong Kong,HK,HKD,Common Stock,BMG987731079,,,,,,,,,,
68,0076.HK,Elate Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0000219144,,,,,,,,,,
69,0077.HK,AMS Public Transport Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG041561088,,,,,,,,,,
70,00775.HK,CK Life Sciences International Holdings Inc,Hong Kong,HK,HKD,Common Stock,KYG2176J1058,,,,,,,,,,
71,0078.HK,Regal Hotels International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG7475M1626,,,,,,,,,,
72,0079.HK,Century Legend (Holdings) Limited,Hong Kong,HK,HKD,Common Stock,BMG2021N1609,,,,,,,,,,
73,0080.HK,China New Economy Fund Limited,Hong Kong,HK,HKD,Common Stock,KYG211971687,,,,,,,,,,
74,0081.HK,China Overseas Grand Oceans Group Limited,Hong Kong,HK,HKD,Common Stock,HK0000065737,,,,,,,,,,
75,0082.HK,Crazy Sports Group Limited,Hong Kong,HK,HKD,Common Stock,BMG249551091,,,,,,,,,,
76,0083.HK,Sino Land Company Limited,Hong Kong,HK,HKD,Common Stock,HK0083000502,,,,,,,,,,
77,0084.HK,Stelux Holdings International Limited,Hong Kong,HK,HKD,Common Stock,BMG8465C1073,,,,,,,,,,
78,0085.HK,China Electronics Huada Technology Company Limited,Hong Kong,HK,HKD,Common Stock,BMG2110E1214,,,,,,,,,,
79,0086.HK,Sun Hung Kai & Co. Limited,Hong Kong,HK,HKD,Common Stock,HK0086000525,,,,,,,,,,
80,0087.HK,Swire Pacific Limited,Hong Kong,HK,HKD,Common Stock,HK0087000532,,,,,,,,,,
81,0088.HK,Tai Cheung Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG8659B1054,,,,,,,,,,
82,0089.HK,Tai Sang Land Development Limited,Hong Kong,HK,HKD,Common Stock,HK0089000548,,,,,,,,,,
83,0090.HK,Puxing Energy Limited,Hong Kong,HK,HKD,Common Stock,KYG730761049,,,,,,,,,,
84,0091.HK,Golden Century International Holdings Group Limited,Hong Kong,HK,HKD,Common Stock,HK0000434156,,,,,,,,,,
85,0093.HK,Termbray Industries International (Holdings) Limited,Hong Kong,HK,HKD,Common Stock,BMG8760C1414,,,,,,,,,,
86,0094.HK,Greenheart Group Limited,Hong Kong,HK,HKD,Common Stock,BMG4094L1054,,,,,,,,,,
87,0095.HK,LVGEM (China) Real Estate Investment Company Limited,Hong Kong,HK,HKD,Common Stock,KYG5727E1035,,,,,,,,,,
88,0096.HK,Yusei Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG9883K1013,,,,,,,,,,
89,0097.HK,Henderson Investment Limited,Hong Kong,HK,HKD,Common Stock,HK0097000571,,,,,,,,,,
