,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
35,AAR.AX,Anglo Australian Resources NL,Australia,AU,AUD,Common Stock,AU000000AAR7,,,Gold,Basic Materials,2.1,49476672,0.08188572,0.09112766,0.0,1.0
37,AAU.AX,Antilles Gold Limited,Australia,AU,AUD,Common Stock,AU000000AAU1,2,,Gold,Basic Materials,1.3928571,15441660,0.07642857,0.08102063,0.68059,0.53282
38,ABA.AX,Auswide Bank Ltd,Australia,AU,AUD,Common Stock,AU000000ABA1,7,,Banks—Regional,Financial Services,1.1761694,295811136,6.444857,6.465922,0.25671,0.0
39,ABB.AX,Aussie Broadband Limited,Australia,AU,AUD,Common Stock,AU0000106643,3,,Telecom Services,Communication Services,15.559566,820365376,3.3737142,2.9730496,-0.08094,0.13291
40,ABC.AX,Adbri Limited,Australia,AU,AUD,Common Stock,AU000000ABC7,6,,Building Materials,Basic Materials,1.8957219,2297978880,3.5925715,3.386525,0.06443,0.16318001
41,ABP.AX,Abacus Property Group,Australia,AU,AUD,Common Stock,AU000000ABP9,7,,REIT—Diversified,Real Estate,1.0159953,19654381568,3.2822857,3.0324824,1.27859,0.77706003
42,ABR.AX,American Pacific Borates Limited,Australia,AU,AUD,Common Stock,AU000000ABR5,,,Other Industrial Metals & Mining,Basic Materials,7.268293,565998848,1.3888571,1.6141844,0.0,1.0
43,ABV.AX,Advanced Braking Technology Limited,Australia,AU,AUD,Common Stock,AU000000ABV7,7,,Auto Parts,Consumer Cyclical,3.0909092,12891066,0.038142856,0.04087234,0.04741,0.43405998
44,ABX.AX,Australian Bauxite Limited,Australia,AU,AUD,Common Stock,AU000000ABX3,,,Aluminum,Basic Materials,1.1616162,20907460,0.113714285,0.10894326,-0.26064,1.0
45,ABY.AX,Adore Beauty Group Limited,Australia,AU,AUD,Common Stock,AU0000109506,5,,Internet Retail,Consumer Cyclical,14.367817,479083008,4.9937143,4.7619147,0.02716,0.32434
46,AC8.AX,AusCann Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000AC89,,,Drug Manufacturers—Specialty & Generic,Healthcare,0.98947364,41411416,0.09981429,0.12175886,0.0,-1.16625
