,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
51,70.SZ,Shenzhen SDG Information Co. Ltd,,SHE,CNY,Common Stock,CNE000001238,,,,,,,,,,
52,78.SZ,Shenzhen Neptunus Bioengineering Co. Ltd,,SHE,CNY,Common Stock,CNE000000X95,,,,,,,,,,
53,88.SZ,Shenzhen Yan Tian Port Holdings Co.Ltd,,SHE,CNY,Common Stock,CNE000000SF7,,,,,,,,,,
54,89.SZ,Shenzhen Airport Co. Ltd,,SHE,CNY,Common Stock,CNE000000VK1,,,,,,,,,,
55,90.SZ,Shenzhen Tagen Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000F89,,,,,,,,,,
56,96.SZ,Shenzhen Guangju Energy Co. Ltd,,SHE,CNY,Common Stock,CNE000001410,,,,,,,,,,
57,99.SZ,CITIC Offshore Helicopter Co.Ltd,,SHE,CNY,Common Stock,CNE0000013Q1,,,,,,,,,,
58,100.SZ,TCL Technology Group Corporation,,SHE,CNY,Common Stock,CNE000001GL8,,,,,,,,,,
59,150.SZ,Yihua Healthcare Co. Ltd,,SHE,CNY,Common Stock,CNE0000014D7,,,,,,,,,,
60,151.SZ,China National Complete Plant Import & Export Corporation Limited,,SHE,CNY,Common Stock,CNE0000014J4,,,,,,,,,,
61,153.SZ,Anhui Fengyuan Pharmaceutical Co. Ltd,,SHE,CNY,Common Stock,CNE0000014X5,,,,,,,,,,
62,155.SZ,Sichuan New Energy Power Company Limited,,SHE,CNY,Common Stock,CNE0000014Z0,,,,,,,,,,
63,156.SZ,Wasu Media Holding Co.Ltd,,SHE,CNY,Common Stock,CNE0000014L0,,,,,,,,,,
64,157.SZ,Zoomlion Heavy Industry Science and Technology Co. Ltd,,SHE,CNY,Common Stock,CNE000001527,,,,,,,,,,
65,158.SZ,Shijiazhuang ChangShan BeiMing Technology Co. Ltd,,SHE,CNY,Common Stock,CNE0000013X7,,,,,,,,,,
66,159.SZ,Xinjiang International Industry Co.Ltd,,SHE,CNY,Common Stock,CNE0000014R7,,,,,,,,,,
67,166.SZ,Shenwan Hongyuan Group Co. Ltd,,SHE,CNY,Common Stock,CNE100002FD4,,,,,,,,,,
68,301.SZ,Jiangsu Eastern Shenghong Co. Ltd,,SHE,CNY,Common Stock,,,,,,,,,,,
69,333.SZ,Midea Group Co. Ltd,,SHE,CNY,Common Stock,CNE100001QQ5,,,,,,,,,,
70,338.SZ,Weichai Power Co. Ltd,,SHE,CNY,Common Stock,,,,,,,,,,,
71,400.SZ,XJ Electric Co. Ltd,,SHE,CNY,Common Stock,CNE0000007F6,,,,,,,,,,
72,401.SZ,Tangshan Jidong Cement Co.Ltd,,SHE,CNY,Common Stock,CNE000000GX5,,,,,,,,,,
73,402.SZ,Financial Street Holdings Co. Ltd,,SHE,CNY,Common Stock,CNE000000KT5,,,,,,,,,,
74,403.SZ,Pacific Shuanglin Bio-pharmacy Co. LTD,,SHE,CNY,Common Stock,CNE000000F14,,,,,,,,,,
75,404.SZ,Changhong Huayi Compressor Co. Ltd,,SHE,CNY,Common Stock,CNE000000KM0,,,,,,,,,,
76,407.SZ,Shandong Shengli Co. Ltd,,SHE,CNY,Common Stock,CNE000000G88,,,,,,,,,,
77,408.SZ,Zangge Holding Company Limited,,SHE,CNY,Common Stock,CNE000000L08,,,,,,,,,,
78,409.SZ,Yunding Technology Co.Ltd,,SHE,CNY,Common Stock,CNE000000L40,,,,,,,,,,
79,410.SZ,Shenyang Machine Tool Co. Ltd,,SHE,CNY,Common Stock,CNE0000008W9,,,,,,,,,,
80,411.SZ,Zhejiang Int'l Group Co.Ltd,,SHE,CNY,Common Stock,CNE0000008D9,,,,,,,,,,
81,413.SZ,Tunghsu Optoelectronic Technology Co. Ltd,,SHE,CNY,Common Stock,CNE000000578,,,,,,,,,,
82,415.SZ,Bohai Leasing Co. Ltd,,SHE,CNY,Common Stock,CNE0000009B1,,,,,,,,,,
83,416.SZ,Minsheng Holdings Co.Ltd,,SHE,CNY,Common Stock,CNE0000009P1,,,,,,,,,,
84,417.SZ,Hefei Department Store Group Co.Ltd,,SHE,CNY,Common Stock,CNE000000BV0,,,,,,,,,,
85,419.SZ,Changsha Tongcheng Holdings Co.Ltd,,SHE,CNY,Common Stock,CNE000000LL0,,,,,,,,,,
86,420.SZ,Jilin Chemical Fibre Stock Co.Ltd,,SHE,CNY,Common Stock,CNE0000008F4,,,,,,,,,,
87,421.SZ,Nanjing Public Utilities Development Co. Ltd,,SHE,CNY,Common Stock,CNE0000003L3,,,,,,,,,,
88,422.SZ,Hubei Yihua Chemical Industry Co. Ltd,,SHE,CNY,Common Stock,CNE0000009C9,,,,,,,,,,
89,423.SZ,Dong-E-E-Jiao Co.Ltd,,SHE,CNY,Common Stock,CNE0000006Y9,,,,,,,,,,
90,425.SZ,XCMG Construction Machinery Co. Ltd,,SHE,CNY,Common Stock,CNE000000FH0,,,,,,,,,,
91,426.SZ,Inner Mongolia Xingye Mining Co. Ltd,,SHE,CNY,Common Stock,CNE000000D24,,,,,,,,,,
92,428.SZ,Huatian Hotel Group Co.Ltd,,SHE,CNY,Common Stock,CNE000000LM8,,,,,,,,,,
93,429.SZ,Guangdong Provincial Expressway Development Co. Ltd,,SHE,CNY,Common Stock,CNE0000006Z6,,,,,,,,,,
94,430.SZ,Zhang Jia Jie Tourism Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000F22,,,,,,,,,,
95,488.SZ,Shandong Chenming Paper Holdings Limited,,SHE,CNY,Common Stock,,,,,,,,,,,
96,498.SZ,Shandong Hi-Speed Road and Bridge Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000009D7,,,,,,,,,,
97,501.SZ,Wuhan Department Store Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000024,,,,,,,,,,
98,502.SZ,Lvjing Holding Co. Ltd,,SHE,CNY,Common Stock,CNE000000214,,,,,,,,,,
99,503.SZ,China Reform Health Management and Services Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000255,,,,,,,,,,
100,504.SZ,NanHua Bio-medicine Co. Ltd,,SHE,CNY,Common Stock,CNE000000263,,,,,,,,,,
101,505.SZ,Hainan Jingliang Holdings Co. Ltd,,SHE,CNY,Common Stock,CNE0000002X0,,,,,,,,,,
102,506.SZ,Zhongrun Resources Investment Corporation,,SHE,CNY,Common Stock,CNE0000004D8,,,,,,,,,,
103,507.SZ,Zhuhai Port Co.Ltd,,SHE,CNY,Common Stock,CNE000000149,,,,,,,,,,
104,509.SZ,Huasu Holdings Co.Ltd,,SHE,CNY,Common Stock,CNE0000001G7,,,,,,,,,,
105,510.SZ,Sichuan Xinjinlu Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000172,,,,,,,,,,
106,513.SZ,Livzon Pharmaceutical Group Inc,,SHE,CNY,Common Stock,CNE0000002Y8,,,,,,,,,,
107,514.SZ,Chongqing Yukaifa Co. Ltd,,SHE,CNY,Common Stock,CNE0000004R8,,,,,,,,,,
108,516.SZ,Xi'an International Medical Investment Company Limited,,SHE,CNY,Common Stock,CNE000000016,,,,,,,,,,
109,517.SZ,Rongan Property Co.Ltd,,SHE,CNY,Common Stock,CNE0000000R6,,,,,,,,,,
110,518.SZ,Jiangsu Sihuan Bioengineering Co. Ltd,,SHE,CNY,Common Stock,CNE0000001P8,,,,,,,,,,
111,519.SZ,North Industries Group Red Arrow Co. Ltd,,SHE,CNY,Common Stock,CNE000000198,,,,,,,,,,
112,520.SZ,Chang Jiang Shipping Group Phoenix Co.Ltd,,SHE,CNY,Common Stock,CNE0000003M1,,,,,,,,,,
113,521.SZ,Changhong Meiling Co. Ltd,,SHE,CNY,Common Stock,CNE000000BT4,,,,,,,,,,
114,523.SZ,Lonkey Industrial Co.Ltd.Guangzhou,,SHE,CNY,Common Stock,CNE0000005T1,,,,,,,,,,
115,524.SZ,Guangzhou Lingnan Group Holdings Company Limited,,SHE,CNY,Common Stock,CNE000000651,,,,,,,,,,
116,525.SZ,Nanjing Red Sun Co.Ltd,,SHE,CNY,Common Stock,CNE0000002Z5,,,,,,,,,,
117,526.SZ,Xueda (Xiamen) Education Technology Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000005F0,,,,,,,,,,
118,528.SZ,Guangxi Liugong Machinery Co. Ltd,,SHE,CNY,Common Stock,CNE000000DB8,,,,,,,,,,
119,529.SZ,Guangdong Guanghong Holdings Co. Ltd,,SHE,CNY,Common Stock,CNE0000002B6,,,,,,,,,,
120,530.SZ,Bingshan Refrigeration & Heat Transfer Technologies Co. Ltd,,SHE,CNY,Common Stock,CNE000000DK9,,,,,,,,,,
121,531.SZ,Guangzhou Hengyun Enterprises Holding Ltd,,SHE,CNY,Common Stock,CNE000000DS2,,,,,,,,,,
122,532.SZ,Zhuhai Huajin Capital Co. Ltd,,SHE,CNY,Common Stock,CNE0000002C4,,,,,,,,,,
123,533.SZ,Guangdong Shunna Electric Co. Ltd,,SHE,CNY,Common Stock,CNE0000003T6,,,,,,,,,,
124,534.SZ,Wedge Industrial Co. Ltd,,SHE,CNY,Common Stock,CNE0000004T4,,,,,,,,,,
125,536.SZ,CPT Technology (Group) Co.Ltd,,SHE,CNY,Common Stock,CNE0000002D2,,,,,,,,,,
126,537.SZ,Tianjin Guangyu Development Co. Ltd,,SHE,CNY,Common Stock,CNE000000271,,,,,,,,,,
127,538.SZ,Yunnan Baiyao Group Co.Ltd,,SHE,CNY,Common Stock,CNE0000008X7,,,,,,,,,,
128,539.SZ,Guangdong Electric Power Development Co. Ltd,,SHE,CNY,Common Stock,,,,,,,,,,,
129,540.SZ,Zhongtian Financial Group Company Limited,,SHE,CNY,Common Stock,CNE000000FL2,,,,,,,,,,
130,541.SZ,Foshan Electrical and Lighting Co.Ltd,,SHE,CNY,Common Stock,CNE000000DN3,,,,,,,,,,
131,543.SZ,An Hui Wenergy Company Limited,,SHE,CNY,Common Stock,CNE000000DF9,,,,,,,,,,
132,544.SZ,Central Plains Environment Protection Co.Ltd,,SHE,CNY,Common Stock,CNE000000F30,,,,,,,,,,
133,545.SZ,Gpro Titanium Industry Co. Ltd,,SHE,CNY,Common Stock,CNE0000002F7,,,,,,,,,,
134,546.SZ,Jinyuan EP Co. Ltd,,SHE,CNY,Common Stock,CNE0000004G1,,,,,,,,,,
135,547.SZ,Addsino Co. Ltd,,SHE,CNY,Common Stock,CNE000000DM5,,,,,,,,,,
136,548.SZ,Hunan Investment Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000DT0,,,,,,,,,,
137,550.SZ,Jiangling Motors Corporation Ltd,,SHE,CNY,Common Stock,CNE000000CV8,,,,,,,,,,
138,551.SZ,Create Technology & Science Co.Ltd,,SHE,CNY,Common Stock,CNE000000FP3,,,,,,,,,,
139,552.SZ,Gansu Jingyuan Coal Industry & Electricity Power Co. Ltd,,SHE,CNY,Common Stock,CNE000000D40,,,,,,,,,,
140,553.SZ,ADAMA Ltd,,SHE,CNY,Common Stock,CNE0000004V0,,,,,,,,,,
141,554.SZ,SINOPEC Shandong Taishan Pectroleum Co.Ltd,,SHE,CNY,Common Stock,CNE000000669,,,,,,,,,,
142,555.SZ,Digital China Information Service Company Ltd,,SHE,CNY,Common Stock,CNE000000FM0,,,,,,,,,,
143,557.SZ,Ningxia Western Venture Industrial Co.Ltd,,SHE,CNY,Common Stock,CNE000000FQ1,,,,,,,,,,
144,558.SZ,Lander Sports Development Co.Ltd,,SHE,CNY,Common Stock,CNE0000003V2,,,,,,,,,,
145,559.SZ,Wanxiang Qianchao Co.Ltd,,SHE,CNY,Common Stock,CNE000000FB3,,,,,,,,,,
146,560.SZ,5i5j Holding Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000636,,,,,,,,,,
147,561.SZ,Shaanxi Fenghuo Electronics Co. Ltd,,SHE,CNY,Common Stock,CNE0000005K0,,,,,,,,,,
148,563.SZ,Shaanxi International Trust Co. Ltd,,SHE,CNY,Common Stock,CNE0000004F3,,,,,,,,,,
149,564.SZ,Ccoop Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000003W0,,,,,,,,,,
150,565.SZ,Chongqing Sanxia Paints Co. Ltd,,SHE,CNY,Common Stock,CNE000000305,,,,,,,,,,
151,566.SZ,Hainan Haiyao Co. Ltd,,SHE,CNY,Common Stock,CNE0000004W8,,,,,,,,,,
152,567.SZ,Hainan Haide Capital Management Co. Ltd,,SHE,CNY,Common Stock,CNE0000005V7,,,,,,,,,,
153,568.SZ,Luzhou Laojiao Co.Ltd,,SHE,CNY,Common Stock,CNE000000GF2,,,,,,,,,,
154,570.SZ,Changchai Company Limited,,SHE,CNY,Common Stock,CNE000000GT3,,,,,,,,,,
155,571.SZ,Sundiro Holding Co. Ltd,,SHE,CNY,Common Stock,CNE000000586,,,,,,,,,,
156,572.SZ,Haima Automobile Co.Ltd,,SHE,CNY,Common Stock,CNE0000006L6,,,,,,,,,,
157,573.SZ,DongGuan Winnerway Industry Zone LTD,,SHE,CNY,Common Stock,CNE0000003D0,,,,,,,,,,
158,576.SZ,Guangdong Ganhua Science and Industry Co. Ltd,,SHE,CNY,Common Stock,CNE0000005H6,,,,,,,,,,
159,581.SZ,Weifu High-Technology Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000002G5,,,,,,,,,,
160,582.SZ,Beibu Gulf Port Co. Ltd,,SHE,CNY,Common Stock,CNE0000001M5,,,,,,,,,,
161,584.SZ,Jiangsu Hagong Intelligent Robot Co.Ltd,,SHE,CNY,Common Stock,CNE0000001Q6,,,,,,,,,,
162,585.SZ,Northeast Electric Development Company Limited,,SHE,CNY,Common Stock,,,,,,,,,,,
163,586.SZ,Sichuan Huiyuan Optical Communication Co. Ltd,,SHE,CNY,Common Stock,CNE0000000H7,,,,,,,,,,
164,587.SZ,Jinzhou Cihang Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000001K9,,,,,,,,,,
165,589.SZ,Guizhou Tyre Co.Ltd,,SHE,CNY,Common Stock,CNE000000JH2,,,,,,,,,,
166,590.SZ,Tus-Pharmaceutical Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000701,,,,,,,,,,
167,591.SZ,CECEP Solar Energy Co.Ltd,,SHE,CNY,Common Stock,CNE0000000K1,,,,,,,,,,
168,592.SZ,Zhongfu Straits (Pingtan) Development Company Limited,,SHE,CNY,Common Stock,CNE0000009F2,,,,,,,,,,
169,593.SZ,Sichuan Datong Gas Development Co.Ltd,,SHE,CNY,Common Stock,CNE000000032,,,,,,,,,,
170,595.SZ,Baota Industry Co. Ltd,,SHE,CNY,Common Stock,CNE000000K09,,,,,,,,,,
171,596.SZ,Anhui Gujing Distillery Co. Ltd,,SHE,CNY,Common Stock,,,,,,,,,,,
172,597.SZ,Northeast Pharmaceutical Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000009G0,,,,,,,,,,
173,598.SZ,Chengdu Xingrong Environment Co. Ltd,,SHE,CNY,Common Stock,CNE000000HN4,,,,,,,,,,
174,599.SZ,Qingdao Doublestar Co.Ltd,,SHE,CNY,Common Stock,CNE000000K17,,,,,,,,,,
175,600.SZ,Jointo Energy Investment Co. Ltd. Hebei,,SHE,CNY,Common Stock,CNE000000FT5,,,,,,,,,,
176,601.SZ,Guangdong Shaoneng Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000009H8,,,,,,,,,,
177,603.SZ,Shengda Resources Co.Ltd,,SHE,CNY,Common Stock,CNE000000H04,,,,,,,,,,
178,605.SZ,Bohai Water Industry Co.Ltd,,SHE,CNY,Common Stock,CNE000000LX5,,,,,,,,,,
179,606.SZ,Shunliban Information Service Co.Ltd,,SHE,CNY,Common Stock,CNE000000M98,,,,,,,,,,
180,607.SZ,Zhejiang Huamei Holding CO. LTD,,SHE,CNY,Common Stock,CNE000000D65,,,,,,,,,,
181,608.SZ,Yang Guang Co.Ltd,,SHE,CNY,Common Stock,CNE000000982,,,,,,,,,,
182,609.SZ,Beijing Zodi Investment Co. Ltd,,SHE,CNY,Common Stock,CNE0000007Z4,,,,,,,,,,
183,610.SZ,Xi'an Tourism Co. Ltd,,SHE,CNY,Common Stock,CNE000000D73,,,,,,,,,,
184,611.SZ,Inner Mongolia TianShou Technology&development CO. LTD,,SHE,CNY,Common Stock,CNE000000768,,,,,,,,,,
185,612.SZ,JiaoZuo WanFang Aluminum Manufacturing Co. Ltd,,SHE,CNY,Common Stock,CNE000000826,,,,,,,,,,
186,613.SZ,Hainan Dadonghai Tourism Centre (Holdings) Co. Ltd,,SHE,CNY,Common Stock,CNE0000008G2,,,,,,,,,,
187,615.SZ,Aoyuan Beauty Valley Technology Co. Ltd,,SHE,CNY,Common Stock,CNE0000007D1,,,,,,,,,,
188,616.SZ,HNA Investment Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000008H0,,,,,,,,,,
189,617.SZ,CNPC Capital Company Limited,,SHE,CNY,Common Stock,CNE000000MS3,,,,,,,,,,
190,619.SZ,Wuhu Conch Profiles and Science Co.Ltd,,SHE,CNY,Common Stock,CNE000000MR5,,,,,,,,,,
191,620.SZ,Macrolink Culturaltainment Development Co. Ltd,,SHE,CNY,Common Stock,CNE000000958,,,,,,,,,,
192,622.SZ,Hengli Industrial Development Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000007G4,,,,,,,,,,
193,623.SZ,Jilin Aodong Pharmaceutical Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000719,,,,,,,,,,
194,625.SZ,Chongqing Changan Automobile Company Limited,,SHE,CNY,Common Stock,CNE000000R36,,,,,,,,,,
195,626.SZ,Grand Industrial Holding Co.Ltd,,SHE,CNY,Common Stock,CNE000000H12,,,,,,,,,,
196,627.SZ,Hubei Biocause Pharmaceutical Co. Ltd,,SHE,CNY,Common Stock,CNE000000F48,,,,,,,,,,
