,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
32,ALA-PE.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,1.1495198,7662520320,24.920303,23.752972,0.05456,0.33676997
33,ALA-PG.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,1.1028806,8826883072,23.594849,22.115507,0.05456,0.33676997
34,ALA-PH.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,0.9967992,,20.989412,19.868488,0.05456,0.33676997
35,ALA-PK.TO,AltaGas Ltd,Canada,TO,CAD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,1.1678097,6917356032,25.444546,25.37587,0.05456,0.33676997
36,ALA-PU.TO,AltaGas Ltd,Canada,TO,USD,Common Stock,,7,,Utilities—Regulated Gas,Utilities,1.1316872,5559542784,24.339394,23.038406,0.05456,0.33676997
37,ALC.TO,Algoma Central Corporation,Canada,TO,CAD,Common Stock,CA0156441077,7,,Marine Shipping,Industrials,1.2072575,653955520,16.275757,16.560955,0.11113,0.33765998
38,ALS.TO,Altius Minerals Corporation,Canada,TO,CAD,Common Stock,CA0209361009,3,,Other Industrial Metals & Mining,Basic Materials,1.9179368,678248000,16.683636,16.579926,-0.00301,0.93279
39,ALYA.TO,Alithya Group Inc,Canada,TO,CAD,Common Stock,CA01643B1067,5,,Information Technology Services,Technology,1.9619564,302799904,3.5836363,3.1855881,-0.06028,0.28861
40,AMM.TO,Almaden Minerals Ltd,Canada,TO,CAD,Common Stock,CA0202833053,2,,Gold,Basic Materials,0.84297514,69982704,0.52484846,0.64963233,0,0
41,AND.TO,Andlauer Healthcare Group Inc,Canada,TO,CAD,Common Stock,CA0342231077,7,,Medical Distribution,Healthcare,18.38581,1769565312,44.048786,38.69496,0.12526,0.34252998
42,ANRG.TO,Anaergia Inc,Canada,TO,CAD,Common Stock,,,,,,,,20.341515,17.920546,,
43,ANX.TO,Anaconda Mining Inc,Canada,TO,CAD,Common Stock,CA03240P2070,8,,Gold,Basic Materials,1.980198,138848000,0.7460606,0.77595586,0.11091,0.39801
44,AOI.TO,Africa Oil Corp,Canada,TO,CAD,Common Stock,CA00829Q1019,1,-0.02,Oil & Gas E&P,Energy,1.020025,771400768,1.4687879,1.285,0,0
45,AOT.TO,Ascot Resources Ltd,Canada,TO,CAD,Common Stock,CA04364G1063,1,,Other Industrial Metals & Mining,Basic Materials,1.8025078,428977600,1.15,1.1216912,0,0
46,AP-UN.TO,Allied Properties Real Estate Investment Trust,Canada,TO,CAD,Common Stock,CA0194561027,4,,REIT—Office,Real Estate,0.8684497,5384328704,44.13,43.315514,0.5845,0.57432
47,APLI.TO,Appili Therapeutics Inc,Canada,TO,CAD,Common Stock,CA03783R1073,5,,Biotechnology,Healthcare,3.1654677,55068816,0.75242424,0.89710146,0,1
48,APR-UN.TO,Automotive Properties Real Estate Investment Trust,Canada,TO,CAD,Common Stock,,7,,REIT—Specialty,Real Estate,1.1848036,503172672,12.830606,12.141176,0.49447,0.85580003
49,APS.TO,Aptose Biosciences Inc,Canada,TO,CAD,Common Stock,CA03835T2002,,,Biotechnology,Healthcare,3.0325203,331758144,3.4345455,5.065147,0,0
50,APY.TO,Anglo Pacific Group plc,Canada,TO,CAD,Common Stock,GB0006449366,4,,Coking Coal,Basic Materials,2.013147,523028448,2.4448485,2.5438972,-0.54688,0.81175005
51,AQA.TO,Aquila Resources Inc,Canada,TO,CAD,Common Stock,CA03841G1019,,,Other Industrial Metals & Mining,Basic Materials,,27106240,0.07242424,0.088308826,0,0
52,AQN.TO,Algonquin Power & Utilities Corp,Canada,TO,CAD,Common Stock,CA0158571053,5,2.82,Utilities—Renewable,Utilities,2.3282444,11943137280,19.666666,19.479412,0.46581,0.40313
53,AQN-PD.TO,AQN-PD,Canada,TO,CAD,Common Stock,,,,,,,,25.874243,24.988188,,
54,AR.TO,Argonaut Gold Inc,Canada,TO,CAD,Common Stock,CA04016A1012,6,,Gold,Basic Materials,1.1725168,973594752,3.061515,2.802941,0.14159,0.44254002
55,ARB.TO,Accelerate Arbitrage Fund,Canada,TO,CAD,Common Stock,,,,,,,,,,,
56,ARE.TO,Aecon Group Inc,Canada,TO,CAD,Common Stock,CA00762V1094,4,3.24,Engineering & Construction,Industrials,1.552067,1317207552,20.362122,19.11022,0.0222,0.08437
57,ARG.TO,Amerigo Resources Ltd,Canada,TO,CAD,Common Stock,CA03074G1090,8,,Copper,Basic Materials,1.8947368,229055392,1.2715151,1.176103,0.19660999,0.34057
58,ARIS.TO,Aris Gold Corp,Canada,TO,CAD,Common Stock,CA04040X1015,4,,Gold,Basic Materials,2.1238937,264639344,1.8718182,2.1777372,-1.2294899,0.15104
59,ARX.TO,ARC Resources Ltd,Canada,TO,CAD,Common Stock,CA00208D4084,4,-0.9,Oil & Gas E&P,Energy,1.1027207,6658656256,8.809394,8.713823,0.045489997,0.62802
60,ASM.TO,Avino Silver & Gold Mines Ltd,Canada,TO,CAD,Common Stock,CA0539061030,4,,Other Precious Metals & Mining,Basic Materials,1.6753247,130119720,1.2557576,1.4870589,-1.0338,-0.14919
61,ASND.TO,Ascendant Resources Inc,Canada,TO,CAD,Common Stock,CA0435041094,,,Other Industrial Metals & Mining,Basic Materials,5.227273,21669014,0.1930303,0.21933824,0,0
62,ASP.TO,Acerus Pharmaceuticals Corporation,Canada,TO,CAD,Common Stock,CA00444G1081,3,,Drug Manufacturers—Specialty & Generic,Healthcare,,69191552,0.043030303,0.049117647,0,-0.16986999
63,AT.TO,AcuityAds Holdings Inc,Canada,TO,CAD,Common Stock,CA00510L1067,5,,Internet Content & Information,Communication Services,15.646154,613280512,10.554849,13.916617,0.044850003,0.52029
64,ATA.TO,ATS Automation Tooling Systems Inc,Canada,TO,CAD,Common Stock,CA0019401052,7,4.74,Specialty Industrial Machinery,Industrials,4.8174434,4312891392,41.30394,32.971912,0.05429,0.27468002
65,ATD-A.TO,Alimentation Couche-Tard Inc,Canada,TO,CAD,Common Stock,,7,,Grocery Stores,Consumer Defensive,4.555957,54067613696,51.11091,44.907646,0.059120003,0.22105
66,ATD-B.TO,Alimentation Couche-Tard Inc,Canada,TO,CAD,Common Stock,CA01626P4033,7,3.9,Grocery Stores,Consumer Defensive,4.5315886,54442201088,50.700607,44.58713,0.059120003,0.22105
67,ATE.TO,Antibe Therapeutics Inc.,Canada,TO,CAD,Common Stock,CA0370255097,2,,Biotechnology,Healthcare,2.8440368,63711572,1.8578788,3.7491913,-2.7078102,0.36549
68,ATH.TO,Athabasca Oil Corporation,Canada,TO,CAD,Common Stock,CA04682R1073,2,-1.74,Oil & Gas E&P,Energy,0.7468477,408619744,0.75969696,0.695,-0.29521,0.28601998
69,ATSX.TO,Accelerate Enhanced Canadian Benchmark Alternative Fund,Canada,TO,CAD,Common Stock,CA00436P1080,,,,,,,,,,
70,ATZ.TO,Aritzia Inc,Canada,TO,CAD,Common Stock,CA04045U1021,4,0.43,Apparel Retail,Consumer Cyclical,13.119768,4465384960,38.37576,33.50022,0.06406,0.41008
71,AUMN.TO,Golden Minerals Company,Canada,TO,CAD,Common Stock,US3811191069,,,Other Precious Metals & Mining,Basic Materials,9.452055,114902936,0.6272727,0.8066176,-0.68303,0.43331
72,AVCN.TO,Avicanna Inc,Canada,TO,CAD,Common Stock,CA05368K1003,3,,Drug Manufacturers—Specialty & Generic,Healthcare,2.186235,43416972,1.08,1.0961397,0,-0.36312
73,AVL.TO,Avalon Advanced Materials Inc,Canada,TO,CAD,Common Stock,CA05337L3048,4,,Other Industrial Metals & Mining,Basic Materials,0.36741215,40084748,0.13,0.17316176,0,1
74,AVNT.TO,Avant Brands Inc,Canada,TO,CAD,Common Stock,CA05353D1033,4,,Drug Manufacturers—Specialty & Generic,Healthcare,,,0.61030304,0.70144445,-1.03597,0.78199995
75,AVP.TO,Avcorp Industries Inc,Canada,TO,CAD,Common Stock,CA05354K3047,6,,Aerospace & Defense,Industrials,,38652496,0.10939394,0.09566177,0.16921,0.05212
76,AW-UN.TO,A&W Revenue Royalties Income Fund,Canada,TO,CAD,Common Stock,,6,,Restaurants,Consumer Cyclical,3.438706,545796864,37.909393,37.089336,0.59129,1
77,AX-PI.TO,Artis Real Estate Investment Trust,Canada,TO,CAD,Common Stock,,5,,REIT—Diversified,Real Estate,1.6697888,1779842432,25.908789,25.435724,0.80328006,0.58142
78,AX-UN.TO,Artis Real Estate Investment Trust,Canada,TO,CAD,Common Stock,CA04315L1058,5,,REIT—Diversified,Real Estate,0.7325108,1481831808,11.657272,11.239411,0.80328006,0.58142
79,AXU.TO,Alexco Resource Corp,Canada,TO,CAD,Common Stock,CA01535P1062,,,Other Precious Metals & Mining,Basic Materials,2.088889,354102688,2.4006062,3.1082354,0,-2.10242
80,AYA.TO,Aya Gold & Silver Inc,Canada,TO,CAD,Common Stock,CA05466C1095,5,,Other Precious Metals & Mining,Basic Materials,15.105741,943150016,10.306364,7.7711763,-0.07377,0.39605
81,AYM.TO,Atalaya Mining Plc,Canada,TO,CAD,Common Stock,CY0106002112,,,Copper,Basic Materials,1.8923734,733900416,5.356364,5.626838,0.21511,0.39457
82,AZG.TO,Arizona Gold Corp,Canada,TO,CAD,Common Stock,CA04053A1057,2,,Gold,Basic Materials,20,34606300,0.10424242,0.12131387,0,0
83,AZZ.TO,Azarga Uranium Corp,Canada,TO,CAD,Common Stock,CA05477Y1088,2,,Uranium,Energy,3.6686392,143937344,0.3451515,0.2959559,0,0
84,BAM-A.TO,Brookfield Asset Management Inc,Canada,TO,CAD,Common Stock,CA1125851040,4,,Asset Management,Financial Services,3.2681117,112514433024,69.28697,60.85331,0.022,0.26055
85,BAM-PFE.TO,Brookfield Asset Management Inc,Canada,TO,CAD,Common Stock,,4,,,,1.0195665,86028951552,24.32,24.32,0.022,0.26055
86,BAM-PFF.TO,Brookfield Asset Management Inc. PREF SR 40 CL A,Canada,TO,CAD,Common Stock,,8,,,,,23321116672,24.62,24.62,,
87,BAM-PFH.TO,Brookfield Asset Management Inc. PFD SHS A SR44,Canada,TO,CAD,Common Stock,,8,,,,,26621186048,25.99,25.881945,,
88,BAM-PFI.TO,Brookfield Asset Management Inc,Canada,TO,CAD,Common Stock,,4,,,,1.2321845,64261033984,23.83,23.83,0.022,0.26055
89,BAM-PFJ.TO,Brookfield Asset Management Inc. PFD SR 48 CL A,Canada,TO,CAD,Common Stock,,8,,,,,25076676608,25.677273,25.65,,
90,BAM-PN.TO,BAM-PN,Canada,TO,CAD,Common Stock,,,,,,,,25.134243,24.621883,,
91,BAMR.TO,Brookfield Asset Management Reinsurance Partners Ltd,Canada,TO,CAD,Common Stock,BMG161691073,,,,,,,72.88273,70.322655,,
92,BB.TO,BlackBerry Limited,Canada,TO,CAD,Common Stock,CA09228F1036,4,,Software—Infrastructure,Technology,5.1578946,7768524800,13.141818,13.077941,-1.23628,0.72003996
93,BBD-A.TO,Bombardier Inc,Canada,TO,CAD,Common Stock,,2,,Aerospace & Defense,Industrials,,4258940672,1.8081818,1.3360294,0.70265996,0.08484
94,BBD-B.TO,Bombardier Inc,Canada,TO,CAD,Common Stock,CA0977512007,2,-0.13,Aerospace & Defense,Industrials,,4820434432,1.6242424,1.1199275,0.70265996,0.08484
95,BBD-PB.TO,Bombardier Inc,Canada,TO,CAD,Common Stock,,2,,Aerospace & Defense,Industrials,,6349421568,11.494545,9.895579,0.70265996,0.08484
96,BBD-PD.TO,Bombardier Inc,Canada,TO,CAD,Common Stock,,2,,Aerospace & Defense,Industrials,,7109668864,14.23697,11.685145,0.70265996,0.08484
97,BBL-A.TO,Brampton Brick Limited,Canada,TO,CAD,Common Stock,,5,,Building Materials,Basic Materials,0.83450603,130567920,11.909032,11.944461,0.026970001,0.21377
98,BBTV.TO,BBTV Holdings Inc,Canada,TO,CAD,Common Stock,CA05551N1015,,,Internet Content & Information,Communication Services,0.4939806,130434696,6.203788,8.356728,-0.07485,0.086210005
99,BBU-UN.TO,Brookfield Business Partners L.P,Canada,TO,CAD,Common Stock,BMG162341090,4,,Conglomerates,Industrials,3.7408175,4246546944,54.30394,53.97713,0.0068900003,0.14443
100,BCE.TO,BCE Inc,Canada,TO,CAD,Common Stock,CA05534B7604,6,3.37,Telecom Services,Communication Services,3.3135915,59722678272,63.75515,60.11478,0.13034001,0.42806998
101,BCE-PL.TO,BCE Inc,Canada,TO,CAD,Common Stock,,6,,Telecom Services,Communication Services,0.8703072,71337451520,16.936764,16.495539,0.13034001,0.42806998
102,BCE-PM.TO,BCE Inc,Canada,TO,CAD,Common Stock,,6,,Telecom Services,Communication Services,0.95312184,75810930688,18.533333,17.671015,0.13034001,0.42806998
103,BCE-PN.TO,BCE Inc,Canada,TO,CAD,Common Stock,,6,,Telecom Services,Communication Services,0.8783377,69451022336,17.32909,16.834421,0.13034001,0.42806998
104,BCE-PO.TO,BCE Inc,Canada,TO,CAD,Common Stock,,6,,Telecom Services,Communication Services,1.2597872,66148540416,25.030909,24.346159,0.13034001,0.42806998
105,BCE-PQ.TO,BCE Inc,Canada,TO,CAD,Common Stock,,6,,Telecom Services,Communication Services,1.217125,67159887872,24.02788,23.103115,0.13034001,0.42806998
106,BCE-PR.TO,BCE Inc,Canada,TO,CAD,Common Stock,,6,,Telecom Services,Communication Services,0.91397303,65427251200,18.436666,17.669312,0.13034001,0.42806998
107,BCE-PS.TO,BCE Inc,Canada,TO,CAD,Common Stock,,6,,Telecom Services,Communication Services,0.90293115,66135916544,18.127647,17.381943,0.13034001,0.42806998
108,BDEQ.TO,Black Diamond Global Equity Fund,Canada,TO,CAD,Common Stock,,,,,,,,,,,
109,BDGI.TO,Badger Infrastructure Solutions Ltd,Canada,TO,CAD,Common Stock,CA0565331026,6,,Engineering & Construction,Industrials,3.9466481,1206638464,34.34667,38.68584,0.00043000001,0.23976
110,BDI.TO,Black Diamond Group Limited,Canada,TO,CAD,Common Stock,CA09202D2077,4,,Rental & Leasing Services,Industrials,0.9275053,202717312,3.8078787,3.8596323,0.0043599997,0.35941002
111,BDOP.TO,Black Diamond Distressed Opportunities Fund,Canada,TO,CAD,Common Stock,,,,,,,,,,,
112,BDT.TO,Bird Construction Inc,Canada,TO,CAD,Common Stock,CA09076P1045,6,0.59,Engineering & Construction,Industrials,2.5103886,544709504,9.039394,9.0701475,0.02587,0.08498
113,BEI-UN.TO,Boardwalk Real Estate Investment Trust,Canada,TO,CAD,Common Stock,CA0966311064,6,,REIT—Residential,Real Estate,0.7636007,2422104576,46.143032,40.580956,-0.30098,0.5739
114,BEP-PE.TO,Brookfield Renewable Partners L.P,Canada,TO,CAD,Common Stock,,2,,Utilities—Renewable,Utilities,1.4631042,16984067072,25.270908,25.128117,-0.10779,0.67612
